RAJ2000, deg	DEJ2000, deg	Name	r, arcsec	Ksmag, mag	2s, Dimensionless "separation" between isolated galaxy and its nearest significant neighbour	HRV, km/s	T, Morphological type in de Vaucouleurs' scale	N, Number of significant neighbours of the isolated galaxy detected during our additional inspection on DSS	Comm	Redshift	MorphologicalType
108.350875	-68.3587778	ESO058-025	41.2	10.7	64	7229	3		IRAS	0.02411334844	SB
109.636125	-65.7984444	ESO088-009	28.8	11.1	71	7105	3	2	IRAS	0.02369972896	SB
110.9725833	-3.4803056	PGC85957	21.8	11.35	63	10817	3		Bar,IRAS	0.03608162818	SB
111.2569167	23.78325	NGC2370	32.8	10.02	65	5500	3		Bar,IRAS	0.01834602524	SB
111.2786667	-63.5340556	ESO088-013	19.9	11.48	78	10542	2	1		0.03516432692	SAB
111.293125	9.5157778	UGC03839	25.8	11.33	64	5269	3		Bar	0.01757549218	SB
111.6009583	-46.3492778	ESO257-015	21.4	11.61	79	9094	3		Bar,ring,AGN	0.03033431882	SB
112.054125	58.5067222	UGC03855	51.4	9.28	64	3162	2			0.01054729669	SAB
112.6889583	-28.3995833	PGC77473	37.1	10.8	88	8078	2			0.02694530761	SAB
113.3779167	-65.3946111	ESO088-021	21.1	10.78	89	6489	2		IRAS	0.02164497414	SAB
113.4110417	24.7293333	PGC3097171	17.6	11.57	111	5643	3			0.01882302189	SB
113.8905	12.304	CGCG058-005	21	10.93	76	5086	3			0.01696506988	SB
114.2632083	22.3528889	UGC03932	27.3	11.03	92	4578	2			0.01527056428	SAB
115.882125	-51.6824167	ESO208-034	31.4	10.31	73	2587	2	1	Bar	0.008629303143	SAB
116.2482917	-74.5168889	ESO035-016	20.4	11.35	125	4830	3			0.0161111458	SB
116.384625	-51.1794444	PGC458971	15.4	11.94	68	11473	3	1		0.03826980864	SB
118.5865417	4.4596389	NGC2470	48.3	9.31	78	4056	2		IRAS	0.0135293597	SAB
119.8340417	-4.7645	PGC151176	18.3	11.46	76	11186	2	1		0.03731247969	SAB
120.5897917	6.8785833	UGC04183	27	10.73	64	9280	2	4	Bar,ring	0.03095474803	SAB
120.7827083	23.3918889	NGC2512	29	9.92	61	4702	3	1	Bar,MRK384,IRAS	0.01568418376	SB
120.83325	3.0521944	CGCG031-030	17.3	11.14	80	10302	2	1		0.03436377309	SAB
121.09775	-60.1079722	ESO124-009	20.5	11.48	71	9149	3	1		0.03051777907	SB
122.308125	16.9876111	UGC04249	28.1	11.63	71	4844	3			0.01615784477	SB
123.53575	-0.3707778	CGCG003-018	17.3	11.39	110	11864	3		MRK1213	0.03957404425	SB
124.4559583	38.7953333	MCG+07-17-027	27	10.96	94	6379	2		IRAS	0.02127805363	SAB
124.5315	26.6338611	MCG+05-20-007	24.9	11.31	68	6001	2	1	Bar,ring	0.02001718135	SAB
124.7615833	83.2663611	UGC04262	28.7	10.5	69	5696	3	2	Pec,IRAS	0.01899981086	SB
126.042	-18.7755	IC2367	72.8	8.8	105	2448	3		Bar,ring,IRAS	0.00816564905	SB
126.2926667	37.9889444	CGCG179-005	16.5	11.74	70	6362	3			0.02122134774	SB
126.6253333	-2.3787778	PGC1093790	16.5	11.65	63	9992	2			0.03332972439	SAB
126.7440417	65.2453611	MCG+11-11-003	19.7	11.21	69	14008	3		Pec	0.04672565846	SB
126.915625	-14.7819722	PGC23727	22.4	11.43	63	9293	3		Bar,ring	0.03099811137	SB
127.045625	10.5407222	CGCG060-016	22.6	11.39	67	9227	3	2		0.03077795906	SB
