ra_deg	dec_deg	name	r_arcsec	ks_mag	"2s, Dimensionless ""separation"" between isolated galaxy and its nearest significant neighbour"	hrv_kms	T, Morphological type in de Vaucouleurs' scale	N, Number of significant neighbours of the isolated galaxy detected during our additional inspection on DSS	comment	redshift	morph_type	poly_source	logSFR_sed	logSFR_w3	logSFR_w4	SimbadName	luminosity_class	yerkes_class	nuclear_class	mu0	diameter_b25_kpc	diameter_be_kpc	ring_diameter_kpc	abs_mag_b	color_bv	kbi	concentration_c31	luminosity_index	HI	mean_sb_be	MaNGA ID	Plate	IFU	logMstar	bt_r	logSFR_global	Distance (Mpc)	Inclination (°)	R₂₅ (kpc)	log R₂₅	M⋆ (10¹⁰ M☉)	V_rot (km/s)	log V_rot	12+log(O/H)₀	12+log(O/H)_R₂₅	Gradient (dex/R₂₅)	log M_BH (M☉)
22.9254167	-0.9328889	NGC0585	54.2	9.46	67.0	5431.0	2.0		IRAS,Vc	0.01811586601	SAB	2mig																																			
23.794125	21.9012222	CGCG481-11	16.1	11.28	64.0	14173.0	3.0		HII,LINER,KIG55,IRAS	0.04727603921	SB	2mig																																			
24.0005417	0.6633611	NGC0622	31.8	10.54	116.0	5162.0	3.0		Bar,sbrst,KIG56,MRK571,IRAS	0.01721857859	SB	2mig																																			
24.1359583	39.9227778	UGC01145	25.5	11.38	108.0	5692.0	3.0		Bar,IRAS	0.0189864683	SB	2mig																																			
24.5644583	41.6540833	UGC01162	28.6	11.17	91.0	11131.0	3.0		Bar,ring	0.03712901944	SB	2mig																																			
24.893625	-12.0761389	MGC-02-05-032	29.1	11.53	98.0	5521.0	3.0			0.0184160737	SB	2mig																																			
25.0910833	37.2082222	CGCG521-065	19.0	11.52	70.0	5099.0	2.0			0.01700843321	SAB	2mig																																			
25.5708333	-47.53	ESO196-019	25.7	11.0	76.0	6750.0	2.0	2.0	Bar,IRAS	0.02251557643	SAB	2mig																																			
25.67625	-18.2268333	ESO543-012	27.9	11.18	62.0	4928.0	3.0	1.0	Bar,ring	0.01643803861	SB	2mig																																			
25.8090417	8.8893056	IC1723	54.1	9.89	62.0	5532.0	3.0		IRAS,Vc	0.01845276575	SB	2mig																																			
26.034	34.3873333	UGC01212	20.5	10.95	63.0	10749.0	3.0			0.03585480459	SB	2mig																																			
26.4829583	-76.4761944	ESO030-003	27.6	10.96	97.0	6297.0	3.0		IRAS	0.02100453107	SB	2mig																																			
27.4656667	-27.4666667	NGC0689	26.4	10.38	62.0	4210.0	2.0		Bar,ring,IRAS	0.01404304841	SAB	2mig																																			
27.497625	2.0914444	UGC01293	20.1	10.94	65.0	14165.0	2.0			0.04724935408	SAB	2mig																																			
28.3021667	-12.8728056	NGC0715	21.3	11.35	78.0	5600.0	3.0		HII	0.01867958933	SB	2mig																																			
28.5547083	7.8836667	UGC01368	33.5	10.78	90.0	7942.0	2.0	2.0		0.02649166044	SAB	2mig																																			
29.2875833	17.7700556	CGCG461-009	15.9	11.71	80.0	5207.0	2.0			0.01736868244	SAB	2mig																																			
29.4182083	-57.7901667	NGC0782	49.1	9.41	111.0	6098.0	3.0		Bar,ring,IRAS	0.02034073853	SB	2mig																																			
30.0374583	12.6560278	NGC0781	36.1	10.03	80.0	3488.0	2.0		KIG81,Vc	0.01163471564	SAB	2mig																																			
30.8729167	-62.7824167	PGC127509	19.6	11.25	82.0	6158.0	2.0		IRAS	0.02054087698	SAB	2mig																																			
30.885375	-60.8529722	ESO114-023	21.7	11.17	81.0	8974.0	3.0	1.0	Bar,ring	0.0299340419	SB	2mig																																			
30.98575	-23.3115556	NGC0808	27.6	10.21	145.0	4960.0	3.0		Bar,ring,IRAS	0.01654477912	SB	2mig																																			
31.3609167	31.1753333	UGC01577	36.7	10.41	64.0	5274.0	3.0		Bar,ring,KIG86,IRAS	0.01759217038	SB	2mig																																			
31.405375	6.7719722	UGC01587	26.7	11.05	74.0	5658.0	3.0		Pec,KIG87,IRAS	0.01887305651	SB	2mig																																			
31.4525833	-5.2938333	MCG-01-06-043	26.1	10.5	72.0	5134.0	3.0		Pec,merger,HII,IRAS	0.01712518065	SB	2mig																																			
31.6525	-31.7778889	ESO414-031	20.9	11.41	106.0	10664.0	3.0		Ring	0.03557127511	SB	2mig																																			
32.1040833	14.3496944	NGC0820	29.6	9.84	74.0	4423.0	3.0		IRAS	0.01475353993	SB	2mig																																			
32.3127917	-45.2041944	PGC130208	17.1	11.82	66.0	12995.0	3.0	2.0		0.04334665417	SB	2mig																																			
32.3956667	-47.5660278	ESO197-026	26.7	11.46	67.0	13422.0	3.0		Bar,ring,Vc	0.04477097286	SB	2mig																																			
