Name	RAJ2000, deg	DEJ2000, deg	logSFRSED, [Msun/yr]	logSFRW3, [Msun/yr]	logSFRW4, [Msun/yr]	SimbadName
PGC2249172	199.774	44.659	0.79	0.92	0.78	PGC2249172
PGC2533108	200.079	56.324		1.13	0.97	PGC2533108
PGC1771282	200.098	26.309	0.55	0.69	0.52	PGC1771282
PGC1384416	200.164	10.784	1.03	0.9	0.75	PGC1384416
PGC1334619	201.7	7.929	0.2	0.34	0.42	PGC1334619
PGC3096774	202.339	37.414	0.71	1.01	0.94	PGC3096774
PGC2262538	204.431	45.295	0.6	0.83	0.75	PGC2262538
PGC048219	204.674	32.309	0.7	0.84	0.67	PGC048219
PGC2432712	206.094	53.136		0.49	0.35	PGC2432712
2MASXJ13452046+3018190	206.335	30.305	0.52	1.03	1.15	2MASXJ13452046+3018190
PGC2138045	206.587	38.851	0.41	0.48	1.06	PGC2138045
PGC2437308	206.829	53.305		0.98	0.81	PGC2437308
PGC1461600	208.046	14.575	0.58	0.86	1.04	PGC1461600
PGC2374112	208.087	50.474		0.8	0.88	PGC2374112
PGC1172606	208.533	0.682	0.53			PGC1172606
PGC049437	208.637	28.453		0.52	0.45	PGC049437
PGC1266702	209.084	4.327	0.46	0.94	1.08	PGC1266702
PGC049614	209.236	53.866	0.59			PGC049614
PGC1330698	210.447	7.781	0.59	0.72	0.98	PGC1330698
PGC2189317	211.067	41.929	0.59	1	0.88	PGC2189317
PGC1368170	211.601	9.656	0.3	0.29	0.12	PGC1368170
PGC1230646	213.54	2.557	0.54	0.48	-0.12	PGC1230646
PGC1672516	214.103	22.577	0.92	0.95	1.11	PGC1672516
PGC2185595	214.216	41.713	0.41	0.52	0.51	PGC2185595
IC4410	215.558	17.397	0.61	0.98	1.22	IC4410
PGC086471	216.311	13.527	0.3	0.18	0.31	PGC086471
PGC2521855	218.616	55.998	0.56	0.81	0.77	PGC2521855
PGC052205	219.127	11.395	0.67	0.8	0.8	PGC052205
PGC2278419	221.945	46.277	0.4	0.56	0.43	PGC2278419
PGC1371938	222.001	9.918	0.02	0.29	0.1	PGC1371938
PGC1704412	222.055	24.31		0.58	0.37	PGC1704412
PGC1561019	222.504	18.488	0.75	0.84	0.64	PGC1561019
PGC1477871	223.119	15.196		0.71	0.59	PGC1477871
UGC09596	223.702	25.792	0.52	0.99	0.81	UGC09596
PGC053396	224.034	12.313	0.22	0.37	0.37	PGC053396
PGC2096276	224.545	37.251	0.37	0.54	0.97	PGC2096276
PGC1259641	225.276	3.854	0.29			PGC1259641
PGC1718885	225.969	24.876	0.23			PGC1718885
PGC1628354	226.389	20.473	0.41	0.31	0.74	PGC1628354
PGC1686023	226.863	23.36	0.4	0.62	0.58	PGC1686023
PGC054072	227.2	30.171	-0.11	1.56	1.59	PGC054072
PGC2280539	227.485	46.4	0.44	0.47	0.4	PGC2280539
PGC1257015	227.685	3.698	0.5	0.51	0.18	PGC1257015
PGC1636267	227.859	20.804	0.54			PGC1636267
PGC054294	228.131	19.158	0.86	0.89	0.64	PGC054294
PGC1825522	229.023	28.072	0.65	0.82	0.75	PGC1825522
PGC1811076	229.141	27.539	0.5	0.52	1.01	PGC1811076
PGC2264900	229.147	45.434	0.88	1.09	0.95	PGC2264900
UGC09821	230.418	8.416		0.71	0.41	UGC09821
PGC2189212	230.662	41.923	0.84	0.8	0.86	PGC2189212
2MASXJ15231112+3138477	230.796	31.647		0.49	0.26	2MASXJ15231112+3138477
PGC1735725	234.41	25.417				PGC1735725
PGC1281140	235.903	5.295				PGC1281140
PGC1114513	236.159	-1.616		1.44	1.4	PGC1114513
